Storm ID,Name,Year,Landfall Code,Coastal Counties within RMW,State,FIPS Code,Landfall Population,2022 Population,Landfalling Housing Units,2022 Housing Units
AL132003,Isabel,2003,LF1,Dare County,NC,37055,32885,37956,29951,35267
AL132003,Isabel,2003,LF1,Hyde County,NC,37095,5540,4576,3330,3167
AL132003,Isabel,2003,LF1,Onslow County,NC,37133,156018,207298,59304,87540
AL132003,Isabel,2003,LF1,Pamlico County,NC,37137,12673,12381,7039,7311
AL132003,Isabel,2003,LF1,Tyrrell County,NC,37177,4225,3365,2081,2010
AL132003,Isabel,2003,LF1,Washington County,NC,37187,13367,10828,6337,6048
AL132003,Isabel,2003,LF1_Total,Total First ,,,443986,508170,224423,274847
AL032004,Charley,2004,LF1,Lee County,FL,12071,512180,822453,295553,442027
AL032004,Charley,2004,LF1_Total,Total First ,,,512180,822453,295553,442027
AL032004,Charley,2004,LF2,Charleston County,SC,45019,333122,419279,153615,209594
AL032004,Charley,2004,LF2,Georgetown County,SC,45043,59176,64722,30981,37350
AL032004,Charley,2004,LF2_Total,Total Second,,,392298,484001,184596,246944
AL032004,Charley,2004,Total_All,Total All,,,904478,1306454,480149,688971
AL092004,Ivan,2004,LF1,Baldwin County,AL,01003,156573,246435,84785,132300
AL092004,Ivan,2004,LF1,Mobile County,AL,01097,397521,411411,170247,186226
AL092004,Ivan,2004,LF1,Escambia County,FL,12033,301768,324878,130603,149482
AL092004,Ivan,2004,LF1,Santa Rosa County,FL,12113,138284,198268,56602,80364
AL092004,Ivan,2004,LF1,Jackson County,MS,28059,134187,144975,56152,63617
AL092004,Ivan,2004,LF1_Total,Total First ,,,1128333,1325967,498389,611989
AL062004,Frances,2004,LF1,Brevard County,FL,12009,515890,630693,244293,299108
AL062004,Frances,2004,LF1,Broward County,FL,12011,1741272,1947026,784656,867215
AL062004,Frances,2004,LF1,Indian River County,FL,12061,124105,167352,65463,86505
AL062004,Frances,2004,LF1,Martin County,FL,12085,137009,162006,72483,82908
AL062004,Frances,2004,LF1,Palm Beach County,FL,12099,1240191,1518477,614625,720741
AL062004,Frances,2004,LF1,St. Lucie County,FL,12111,225240,358704,109613,160601
AL062004,Frances,2004,LF1_Total,Total First ,,,3983707,4784258,1891133,2217078
AL112004,Jeanne,2004,LF1,Brevard County,FL,12009,515890,630693,244293,299108
AL112004,Jeanne,2004,LF1,Broward County,FL,12011,1741272,1947026,784656,867215
AL112004,Jeanne,2004,LF1,Charlotte County,FL,12015,156281,202661,87774,118233
AL112004,Jeanne,2004,LF1,Collier County,FL,12021,295453,397994,175532,240238
AL112004,Jeanne,2004,LF1,Indian River County,FL,12061,124105,167352,65463,86505
AL112004,Jeanne,2004,LF1,Lee County,FL,12071,512180,822453,295553,442027
AL112004,Jeanne,2004,LF1,Martin County,FL,12085,137009,162006,72483,82908
AL112004,Jeanne,2004,LF1,Palm Beach County,FL,12099,1240191,1518477,614625,720741
AL112004,Jeanne,2004,LF1,St. Lucie County,FL,12111,225240,358704,109613,160601
AL112004,Jeanne,2004,LF1,Miami-Dade County,FL,12086,2381215,2673837,912008,1095553
AL112004,Jeanne,2004,LF1_Total,Total First ,,,7328836,8881203,3362000,4113129
AL122005,Katrina,2005,LF1,Broward County,FL,12011,1766620,1947026,793132,867215
AL122005,Katrina,2005,LF1,Palm Beach County,FL,12099,1262956,1518477,630764,720741
AL122005,Katrina,2005,LF1,Miami-Dade County,FL,12086,2413583,2673837,934527,1095553
AL122005,Katrina,2005,LF1_Total,Total First ,,,5443159,6139340,2358423,2683509
AL122005,Katrina,2005,LF2,Jefferson Parish,LA,22051,451652,425884,196381,194761
AL122005,Katrina,2005,LF2,Lafourche Parish,LA,22057,91362,95870,36478,41826
AL122005,Katrina,2005,LF2,Plaquemines Parish,LA,22075,28549,22516,11650,9793
AL122005,Katrina,2005,LF2,St. Bernard Parish,LA,22087,64951,44479,26931,18330
AL122005,Katrina,2005,LF2_Total,Total Second,,,636514,588749,271440,264710
AL122005,Katrina,2005,Total_All,Total All,,,6079673,6728089,2629863,2948219
AL252005,Wilma,2005,LF1,Broward County,FL,12011,1766620,1947026,793132,867215
AL252005,Wilma,2005,LF1,Collier County,FL,12021,306640,397994,182515,240238
AL252005,Wilma,2005,LF1,Lee County,FL,12071,541542,822453,316255,442027
AL252005,Wilma,2005,LF1,Monroe County,FL,12087,76135,81708,52384,54862
AL252005,Wilma,2005,LF1,Miami-Dade County,FL,12086,2413583,2673837,934527,1095553
AL252005,Wilma,2005,LF1_Total,Total First ,,,5104520,5923018,2278813,2699895
