Date,Current-Cost Net Stock of Fixed Assets and Consumer Durable Goods,Wealth Ratio,,,,,,,,,,,,,,,,,,,,,,,
1900,138.9,673.6643295,"U.S. Bureau of Economic Analysis, Current-Cost Net Stock of Fixed Assets and Consumer Durable Goods [K1WTOTL1ES000], retrieved from FRED, Federal Reserve Bank of St. Louis; https://fred.stlouisfed.org/series/K1WTOTL1ES000, April 14, 2023",,,,,,,,,,,,,,,,,,,,,,
1901,143.2,653.4543996,https://fred.stlouisfed.org/series/K1WTOTL1ES000,,,,,,,,,,,,,,,,,,,,,,
1902,147.7,633.8507674,*numbers before 1925 calculated as 3% less that the preceding year after Pielke 2008,,,,,,,,,,,,,,,,,,,,,,
1903,152.2,614.8352447,*Wealth ratio = 2022 CCNSFACDG/year CCNSFACDG,,,,,,,,,,,,,,,,,,,,,,
1904,156.9,596.3901872,,,,,,,,,,,,,,,,,,,,,,,
1905,161.8,578.4984817,,,,,,,,,,,,,,,,,,,,,,,
1906,166.8,561.1435271,,,,,,,,,,,,,,,,,,,,,,,
1907,171.9,544.3092213,,,,,,,,,,,,,,,,,,,,,,,
1908,177.3,527.9799448,,,,,,,,,,,,,,,,,,,,,,,
1909,182.7,512.1405464,,,,,,,,,,,,,,,,,,,,,,,
1910,188.4,496.7763299,,,,,,,,,,,,,,,,,,,,,,,
1911,194.2,481.8730402,,,,,,,,,,,,,,,,,,,,,,,
1912,200.2,467.4168489,,,,,,,,,,,,,,,,,,,,,,,
1913,206.4,453.3943434,,,,,,,,,,,,,,,,,,,,,,,
1914,212.8,439.7925131,,,,,,,,,,,,,,,,,,,,,,,
1915,219.4,426.5987376,,,,,,,,,,,,,,,,,,,,,,,
1916,226.2,413.8007757,,,,,,,,,,,,,,,,,,,,,,,
1917,233.2,401.3867524,,,,,,,,,,,,,,,,,,,,,,,
1918,240.4,389.3451498,,,,,,,,,,,,,,,,,,,,,,,
1919,247.8,377.6647952,,,,,,,,,,,,,,,,,,,,,,,
1920,255.5,366.3348514,,,,,,,,,,,,,,,,,,,,,,,
1921,263.4,355.3448058,,,,,,,,,,,,,,,,,,,,,,,
1922,271.5,344.6844617,,,,,,,,,,,,,,,,,,,,,,,
1923,279.9,334.3439278,,,,,,,,,,,,,,,,,,,,,,,
1924,288.6,324.31361,,,,,,,,,,,,,,,,,,,,,,,
1925,297.6,314.4784946,,,,,,,,,,,,,,,,,,,,,,,
1926,307.8,304.05718,,,,,,,,,,,,,,,,,,,,,,,
