Storm ID,Name,Year,Landfall Code,Coastal Counties within RMW,State,FIPS Code,Landfall Population,2022 Population,Landfalling Housing Units,2022 Housing Units
AL011900,Galveston,1900,LF1,Brazoria,TX,48039,14861,388181,"3,070","150,595"
AL011900,Galveston,1900,LF1,Galveston,TX,48167,44116,357117,"8,664","162,101"
AL011900,Galveston,1900,LF1_Total,Total First ,,,58977,745298,"11,734","312,696"
AL021915,Galveston,1915,LF1,Brazoria,TX,48039,"16,957",388181,"3,737","150,595"
AL021915,Galveston,1915,LF1,Harris,TX,48201,151180,"4,780,913","31,514","1,917,799"
AL021915,Galveston,1915,LF1,Galveston,TX,48167,"48,815","357,117","10,161","162,101"
AL021915,Galveston,1915,LF1_Total,Total First ,,,"216,952",5526211,"45,412","2,230,495"
AL021919,Florida Keys,1919,LF1,Monroe,FL,12087,19751,81708,"3,952","54,862"
AL021919,Florida Keys,1919,LF1_Total,Total First ,,,19751,81708,"3,952","54,862"
AL021919,Florida Keys,1919,LF2,Kenedy,TX,48261,0,358,0,196
AL021919,Florida Keys,1919,LF2,Kleberg,TX,48273,0,30362,0,"14,024"
AL021919,Florida Keys,1919,LF2,Nueces,TX,48355,"22,722",351674,"4,710","154,633"
AL021919,Florida Keys,1919,LF2_Total,Total Second,,,22722,382394,4710,168853
AL071926,Great Miami,1926,LF1,Dade,FL,12086,102874,2673837,"24,570","1,095,553"
AL071926,Great Miami,1926,LF1,Monroe,FL,12087,"15,994","81,708","3,495","54,862"
AL071926,Great Miami,1926,LF1_Total,Total First ,,,118868,2755545,"28,065","1,150,415"
AL071926,Great Miami,1926,LF2,Escambia,FL,12033,"51,911",324878,"11,140","149,482"
AL071926,Great Miami,1926,LF2,Baldwin,AL,1003,25265,246435,"5,671","132,300"
AL071926,Great Miami,1926,LF2_Total,Total Second,,,"77,176",571313,"16,811","281,782"
AL071927,Great Miami,1926,Total_All,Total All,,,"196,044",3326858,"44,876","1,432,197"
AL041928,Lake Okeechobee,1928,LF1,Palm Beach,FL,12099,"45,156",1518477,"11,269","720,741"
AL041928,Lake Okeechobee,1928,LF1,Martin,FL,12085,0,162006,0,"82,908"
AL041928,Lake Okeechobee,1928,LF1,Broward,FL,12011,17102,1947026,"4,417","867,215"
AL041928,Lake Okeechobee,1928,LF1_Total,Total First ,,,"62,258",3627509,"15,686","1,670,864"
AL021932,Freeport,1932,LF1,Brazoria,TX,48039,23857,388181,"5,309","150,595"
AL021932,Freeport,1932,LF1,Galveston,TX,48167,67755,357117,"16,368","162,101"
AL021932,Freeport,1932,LF1_Total,Total First ,,,91612,745298,"21,677","312,696"
AL061933,Chesapeake-Potomac,1933,LF1,Camden,NC,37029,"5,455",11088,"1,205","4,311"
AL061933,Chesapeake-Potomac,1933,LF1,Currituck,NC,37053,"6,710","31,015","1,572","17,179"
AL061933,Chesapeake-Potomac,1933,LF1,Dare,NC,37055,"5,454","37,956","1,350","35,267"
AL061933,Chesapeake-Potomac,1933,LF1,Tyrrell,NC,37177,"5,282",3365,"1,109","2,010"
