Storm ID,Storm Name,Landfall_ID_Muller,BE Damage_Grinsted_2019,BE Damage_Weinkle_2018,Monthly Weather Review ,Damage Description Monthly Weather Review,  BE Damage_Muller et al,Updates from NCEI (obtained May 2024),Damage details if available_Muller et al_dataset,Loss States_Muller,Reference for Muller et al. dataset,DOI for Muller et al. dataset,Direct Link (if DOI is unavailable)
AL131944,Cuba-Florida,DIL1,"37,000,000",None,"37,000,000","Damage in NC, SC and GA","37,000,000",NA,"Damage in NC, SC and GA","SC, NC, GA","Sumner, H.C. 1944: The North Atlantic Hurricane October 13-22, 1944, Monthly Weather Review, Weather Bureau Washington DC, Feb 1945. Vol 72, No.11, W.B. No 1427, pp. 223", https://doi.org/10.1175/1520-0493(1944)072<0237:NAHATD>2.0.CO;2,
AL091945,Homestead,LF1,"60,000,000","60,000,000","60,000,000",NA,"60,000,000",NA,"50,000,000 in Dade county. Damage path Perrine, Goulds, Princeton, Florida City, Homestead, Richmond, Redland, South Miami. Property damage- 40,000,000; Crop loss, 10,000,000; Power and communications 1,000,000; Ornamental trees, shrubs, and timber, 2,000, 000; Small boats, piers, docks, searalls,1,000,000; Highways and bridges, 100,000; Livestock, 15,000",FL,"Sumner, H.C. 1945: The North Atlantic Hurricane and Tropical Disturbance of 1945, Monthly Weather Review, Weather Bureau Washington DC, Jan 1946. Vol 74, No.1, W.B. No 1458, pp. 4, Editor Culnan",https://doi.org/10.1175/1520-0493(1946)074<0001:MACDFJ>2.0.CO;2,
AL041947,Fort Lauderdale,LF1,"31,000,000",110000000 TOTAL,NA,NA,"31,800,000",NA,"Florida: Property damage (10,800,000), crop damage (10,000,000), trees etc. (2,000,000), piers, docks, seawalls, etc. (3,000,000), Highways, bridges and streets (2,500,000), power and communications (1,500,000), cleanup and debris removal (2,000,000)",FL,"Norton, G. 1947: Report of Hurricanes, September 1947. United States Department of Commerce, Weather Bureau Washington DC, October 15, 1947. p.1. ",not available ,1947_StormReports.pdf (noaa.gov)
AL041947,Fort Lauderdale,LF2,"79,000,000",110000000 TOTAL,NA,NA,"80,000,000",NA,Middle gulf area (estimated by New Orleans office),LA,"Norton, G. 1947: Report of Hurricanes, September 1947. United States Department of Commerce, Weather Bureau Washington DC, October 15, 1947. p.1. ",not available ,1947_StormReports.pdf (noaa.gov)
AL021949,Florida,LF1,"52,000,000","52,000,000","52,000,000","52,000,000 in damage if propert and crops in southeastern states, about 45,000,000 which occured in FL ","52,000,000",NA,"52,000,000 in damage if propert and crops in southeastern states, about 45,000,000 which occured in FL ","FL, GA","Zoch, R.T. 1949: North Atlantic Hurricanes and Tropical Disturbances of 1949, Monthly Weather Review, Weather Bureau Washington DC, December 1949. VOL 77, No. 12, p.339",https://doi.org/10.1175/1520-0493(1949)077<0339:NAHATD>2.0.CO;2,
AL111950,King,LF1,"28,000,000","28,000,000","27,750,000","28,000,000 total, 27,750,000 in Florida and the remainder 250,000 Georgia","27,750,000",NA,"28,000,000 total, 27,750,000 in Florida and the remainder 250,000 Georgia",FL,"Norton, G., 1950: Hurricanes of the 1950s Season, Monthly Weather Review, Weather Bureau Washington DC, Jan 1951. pp. 8 ",https://doi.org/10.1175/1520-0493(1951)079<0008:HOTS>2.0.CO;2,
AL061954,Carol,ID1,"227,500",None,"227,500","Damage in North Carolina was estimated at 227,500","227,500",NA,"Damage in North Carolina was estimated at 227,500",NC,"Davis, W.R. Hurricanes of 1954, Monthly Weather Review, Weather Bureau Office Miami, Fla. December 1954.",https://doi.org/10.1175/1520-0493(1954)082<0370:HO>2.0.CO;2,
AL061954,Carol,LF1,"460,000,000","460,000,000","460,000,000", 460 million damage to property and crops in the North Atlantic States,"460,000,000",NA, 460 million damage to property and crops in the North Atlantic States,Atlantic States,"Davis, W.R. Hurricanes of 1954, Monthly Weather Review, Weather Bureau Office Miami, Fla. December 1954.",https://doi.org/10.1175/1520-0493(1954)082<0370:HO>2.0.CO;2,
AL141954,Hazel,LF1,"281,000,000","281,000,000",NA,NA,"281,000,000",NA,"163,000,000 with 36,000,000 in NC and 25,000,000 in SC (MWR) and 281,000,000 from NHC","NC, SC"," Hebert, Paul J; Taylor, Glenn; National Hurricane Center (January 1983). The Deadliest, Costliest, and Most Intense United States Hurricanes of This Century (and Other Frequently Requested Hurricane Facts) (PDF) (NOAA Technical Memorandum NWS TPC-18). United States National Oceanic and Atmospheric Administration's National Weather Service. p. 5. Archived (PDF) from the original on September 24, 2012. Retrieved April 26, 2014.",,
AL051960,Donna,LF1,"300,000,000",387000000 TOTAL,"300,000,000","Table 1: 300,000,000 in FL,  ","300,000,000",NA,"Table 1: 300,000,000 in FL,  ",FL,"Dunn, G.E. Hurricane Season of 1960, Monthy Weather Review, Weather Bureau Office Miami, Fla. March 1961. VOL 89, No. 3, pp.100",https://doi.org/10.1175/1520-0493(1961)089<0099:THSO>2.0.CO;2,
AL051960,Donna,LF2,"56,500,000",387000000 TOTAL,"56,500,000","Table 1: 56,500,000 in NC","56,500,000",NA,"Table 1: 56,500,000 in NC",NC,"Dunn, G.E. Hurricane Season of 1960, Monthy Weather Review, Weather Bureau Office Miami, Fla. March 1961. VOL 89, No. 3, pp.100",https://doi.org/10.1175/1520-0493(1961)089<0099:THSO>2.0.CO;2,
AL051960,Donna,LF3,"30,000,000",387000000 TOTAL,"30,000,000","Table 1: 30,000,000 in ""elsewehere u.s.""","30,000,000",NA,"Table 1: 30,000,000 in ""elsewehere u.s.""",NE States,"Dunn, G.E. Hurricane Season of 1960, Monthy Weather Review, Weather Bureau Office Miami, Fla. March 1961. VOL 89, No. 3, pp.100",https://doi.org/10.1175/1520-0493(1961)089<0099:THSO>2.0.CO;2,
AL031961,Carla,LF1,"425,000,000","400,000,000",NA,NA,"425,000,000",NA,Carla was responsible for 46 deaths and damage of over $425 million.,TX,"Cry, G.W. North Atlantic Tropical Cyclones, Climatology, US Weather Bureau, Washington DC, US Department of Commerce, Climatological Data, Annual 1961, Vol 12, No. 13, Asheville, 1962, pg 59",Not available ,
AL051964,Cleo,LF1,"128,500,000","128,000,000","125,000,000",Total direct and Indirect in FL,"125,000,000",NA,Total direct and Indirect in FL,FL,"Dunn, G.E. The Hurricane Season of 1964, Monthly Weather Review, Weather Bureau Office Miami, Fla. March1965. Vol 93, No.3, pp. 180",https://doi.org/10.1175/1520-0493(1965)093<0175:THSO>2.3.CO;2,
AL061964,Dora,LF1,"250,000,000","250,000,000","250,000,000","230,000,000 in FL","250,000,000",NA,"230,000,000 in FL",FL,"Dunn, G.E. The Hurricane Season of 1964, Monthly Weather Review, Weather Bureau Office Miami, Fla. March1965. Vol 93, No.3, pp. 177",https://doi.org/10.1175/1520-0493(1965)093<0175:THSO>2.3.CO;2,
AL031965,Betsy,LF1,"139,300,000",1420000000 TOTAL,"139,300,000","Florida $139,300,000, ","139,300,000",NA,"Florida $139,300,000, ",FL,"Sugg, A. L., 1966: The Hurricane Season of 1965. Monthly Weather Review, 94, 183–191,",https://doi.org/10.1175/1520-0493(1966)094<0183:THSO>2.3.CO;2,
