Storm ID,Storm Name,Landfall_ID_Muller,BE Damage_Grinsted_2019,BE Damage_Weinkle_2018,Monthly Weather Review ,Damage Description Monthly Weather Review,  BE Damage_Muller et al,Updates from NCEI (obtained May 2024),Damage details if available_Muller et al_dataset,Loss States_Muller,Reference for Muller et al. dataset,DOI for Muller et al. dataset,Direct Link (if DOI is unavailable)
AL092004,Ivan,LF1,"20,500,000,000","14,200,000,000","14,200,000,000","Ivan is the third most costly hurricane disaster in the United States, with damage estimated to be near $14.2 billion. The AISG reports an insured loss estimated at $7.11 billion. Damage was most severe in the Pensacola area, where Ivan was the most destructive hurricane in more than 100 yr.","20,500,000,000","20,500,000,000",NCEI,"AL, FL","NOAA National Centers for Environmental Information (NCEI) U.S. Billion-Dollar Weather and Climate Disasters (2024). https://www.ncei.noaa.gov/access/billions/,",https://doi.org/10.25921/stkw-7w73,
AL112004,Jeanne,LF1,"7,500,000,000","6,900,000,000","6,900,000,000",The AISG reports insured property losses in the United States of $3.44 billion. Total U.S. damage is estimated to be near $6.9 billion.,"7,500,000,000","7,500,000,000",NCEI,FL,"NOAA National Centers for Environmental Information (NCEI) U.S. Billion-Dollar Weather and Climate Disasters (2024). https://www.ncei.noaa.gov/access/billions/,",https://doi.org/10.25921/stkw-7w73,
AL122005,Katrina,LF1,"100,000,000","82,000,000,000 TOTAL","81,000,000,000",The PCS estimates that Katrina is responsible for $40.6 billion of insured losses in the United States. The total estimated damage cost of Katrina in the United States is thus about $81 billion.,"2,500,000,000",2B-3B,NCEI: Only a range of 2-3 billion is given so we take the median,FL,Storm Data and Unusual Weather Phenomena with Late Reports and Corrections (Report). Vol. 47. National Climatic Data Center. August 2005,https://doi.org/10.25921/stkw-7w73,
AL122005,Katrina,LF2,"125,000,000,000","82,000,000,000 TOTAL",,NA,"125,000,000,000","125,000,000,000",NCEI,LA,"NOAA National Centers for Environmental Information (NCEI) U.S. Billion-Dollar Weather and Climate Disasters (2024). https://www.ncei.noaa.gov/access/billions/,",https://doi.org/10.25921/stkw-7w73,
AL182005,Rita,LF1,"18,500,000,000","11,254,000,000","11,300,000,000",The most recent available estimate by the PCS of the insured property damage in the United States caused by Rita is $5.63 billion. This produces an estimate for total damage of about $11.3 billion.,"18,500,000,000","18,500,000,000",NCEI,LA,"NOAA National Centers for Environmental Information (NCEI) U.S. Billion-Dollar Weather and Climate Disasters (2024). https://www.ncei.noaa.gov/access/billions/,",https://doi.org/10.25921/stkw-7w73,
AL252005,Wilma,LF1,"19,000,000,000","20,600,000,000","20,600,000,000",The total insured damage compiled by the PCS is $10.3 billion. The total property damage in the United States is thus estimated at $20.6 billion,"19,000,000,000","19,000,000,000",NCEI,FL,"NOAA National Centers for Environmental Information (NCEI) U.S. Billion-Dollar Weather and Climate Disasters (2024). https://www.ncei.noaa.gov/access/billions/,",https://doi.org/10.25921/stkw-7w73,
AL072008,Gustav,LF1,"6,000,000,000","4,300,000,000",,"Insurances Services Office reports that the hurricane caused an estimated $2.15 billion in damages to insured property, of which $2.045 billion occurred in Louisiana.  Doubling this figure to account for uninsured losses results in estimated U. S. damages of $4.3 billion.  Note – in 2011 the U.S. damage estimate was revised to $4.618 billion. ","6,000,000,000","6,000,000,000",NCEI,LA,"NOAA National Centers for Environmental Information (NCEI) U.S. Billion-Dollar Weather and Climate Disasters (2024). https://www.ncei.noaa.gov/access/billions/,",https://doi.org/10.25921/stkw-7w73,
AL092008,Ike,LF1,"30,000,000,000","25,000,000,000","25,000,000,000","The PCS of the Insurance Services Office estimates that the insured damage (not including inland flooding or storm surge) from Ike in Texas, Louisiana, and Arkansas is about $12.5 billion dollars.  The National Flood Insurance Program estimates that insured losses from inland flooding and storm surge is approximately $2.26 billion in the same three states.  Because there is a $250,000 cap on each claim for inland flooding and storm surge, it is unlikely that this number is close to actual damage costs, considering the total devastation that occurred on some parts of the coast.  Using these preliminary figures, total damage is estimated at about $29.52 billion dollars, based on a doubling of the total insured damage.","30,000,000,000","30,000,000,000",NCEI,TX,"NOAA National Centers for Environmental Information (NCEI) U.S. Billion-Dollar Weather and Climate Disasters (2024). https://www.ncei.noaa.gov/access/billions/,",https://doi.org/10.25921/stkw-7w73,
AL092011,Irene,LF1,"13,500,000,000","8,600,000,000","8,600,000,000","In the United States, the Insurances Services Office reported that the hurricane caused an estimated $4.3 billion in losses.  Doubling this figure in an attempt to account for uninsured losses results in an estimated total of $ 8.6 billion.  Based on National Flood Insurance Program data, it is estimated that Irene caused $7.2 billion in losses from inland flooding and storm surge. Using these figures, the total damage estimate is $15.8 billion. ","13,500,000,000","13,500,000,000",NCEI,NC,"NOAA National Centers for Environmental Information (NCEI) U.S. Billion-Dollar Weather and Climate Disasters (2024). https://www.ncei.noaa.gov/access/billions/,",https://doi.org/10.25921/stkw-7w73,
AL182012,Sandy,LF1,"29,500,000,000","60,280,000,000 TOTAL",,,"29,500,000,000",20B-30B,"Damage breakdown by state from Aerts et al., 2013",NJ,"Aerts, J. C. et al. 6. Economic and direct losses from Hurricane Sandy. Ann. N. Y. Acad. Sci. 1294, 81–104 (2013).",Not available ,
AL182012,Sandy,ID1,"32,800,000,000","60,280,000,000 TOTAL",,,"32,800,000,000",30B-40B,"Damage breakdown by state from Aerts et al., 2013",NY,"Aerts, J. C. et al. 6. Economic and direct losses from Hurricane Sandy. Ann. N. Y. Acad. Sci. 1294, 81–104 (2013).",Not available ,
AL182012,Sandy,ID2,"360,000,000","60,280,000,000 TOTAL",,,"360,000,000",1-2B,"Damage breakdown by state from Aerts et al., 2013",CT,"Aerts, J. C. et al. 6. Economic and direct losses from Hurricane Sandy. Ann. N. Y. Acad. Sci. 1294, 81–104 (2013).",Not available ,
AL142016,Matthew,LF1,"10,000,000,000","8,000,000,000",,,"10,000,000,000","10,000,000,000",NCEI,SC,"NOAA National Centers for Environmental Information (NCEI) U.S. Billion-Dollar Weather and Climate Disasters (2024). https://www.ncei.noaa.gov/access/billions/,",https://doi.org/10.25921/stkw-7w73,
AL092017,Harvey,LF1,"125,000,000,000","60,000,000,000",,,"125,000,000,000","125,000,000,000",NCEI,TX,"NOAA National Centers for Environmental Information (NCEI) U.S. Billion-Dollar Weather and Climate Disasters (2024). https://www.ncei.noaa.gov/access/billions/,",https://doi.org/10.25921/stkw-7w73,
AL112017,Irma,LF1,"50,000,000,000","30,000,000,000",,,"50,000,000,000","50,000,000,000",NCEI,FL,"NOAA National Centers for Environmental Information (NCEI) U.S. Billion-Dollar Weather and Climate Disasters (2024). https://www.ncei.noaa.gov/access/billions/,",https://doi.org/10.25921/stkw-7w73,
AL142018,Michael,LF1,"18,400,000,000",N/A,,,"18,400,000,000",15B-20B,Damage breakdown by state from NHC Tropical Cyclone Report (citing NCEI),FL,"Beven, J.L. Berg, R., and Hagen, A. NATIONAL HURRICANE CENTER TROPICAL CYCLONE REPORT HURRICANE MICHAEL (AL142018) 7–11 October 2018, National Hurricane Center 17 May 2019",Not available ,https://www.nhc.noaa.gov/data/tcr/AL142018_Michael.pdf
AL142018,Michael,DIL1,"4,700,000,000",N/A,,,"4,700,000,000",5B-7B,Damage breakdown by state from NHC Tropical Cyclone Report (citing NCEI),GA,"Beven, J.L. Berg, R., and Hagen, A. NATIONAL HURRICANE CENTER TROPICAL CYCLONE REPORT HURRICANE MICHAEL (AL142018) 7–11 October 2018, National Hurricane Center 17 May 2019",Not available ,https://www.nhc.noaa.gov/data/tcr/AL142018_Michael.pdf
AL142018,Michael,DIL2,"1,100,000,000",N/A,,,"1,100,000,000",1B,Damage breakdown by state from NHC Tropical Cyclone Report (citing NCEI),AL,"Beven, J.L. Berg, R., and Hagen, A. NATIONAL HURRICANE CENTER TROPICAL CYCLONE REPORT HURRICANE MICHAEL (AL142018) 7–11 October 2018, National Hurricane Center 17 May 2019",Not available ,https://www.nhc.noaa.gov/data/tcr/AL142018_Michael.pdf
AL062018,Florence,LF1,"24,000,000,000",N/A,,,"24,000,000,000","24,000,000,000",Damages in North Carolina from NHC Tropical Cyclone Report (citing NCEI),NC,"NOAA National Centers for Environmental Information (NCEI) U.S. Billion-Dollar Weather and Climate Disasters (2024). https://www.ncei.noaa.gov/access/billions/,",https://doi.org/10.25921/stkw-7w73,
AL132020,Laura,LF1,N/A,N/A,,,"17,500,000,000",20B-25B,Damage breakdown by state from NHC Tropical Cyclone Report (citing NCEI),LA,"Pasch, R.J., Berg, R., Roberts, D.P, and Papin, P.P., NATIONAL HURRICANE CENTER TROPICAL CYCLONE REPORT HURRICANE LAURA (AL132020) 20–29 August 2020, National Hurricane Center 26 May 2021 ",Not available ,https://www.nhc.noaa.gov/data/tcr/AL132020_Laura.pdf
AL132020,Laura,DIL1,N/A,N/A,,,"215,000,000",100M-250M,Damage breakdown by state from NHC Tropical Cyclone Report (citing NCEI),AR,"Pasch, R.J., Berg, R., Roberts, D.P, and Papin, P.P., NATIONAL HURRICANE CENTER TROPICAL CYCLONE REPORT HURRICANE LAURA (AL132020) 20–29 August 2020, National Hurricane Center 26 May 2021 ",Not available ,https://www.nhc.noaa.gov/data/tcr/AL132020_Laura.pdf
AL132020,Laura,ID1,N/A,N/A,,,"975,000,000",1B-2B,Damage breakdown by state from NHC Tropical Cyclone Report (citing NCEI),TX,"Pasch, R.J., Berg, R., Roberts, D.P, and Papin, P.P., NATIONAL HURRICANE CENTER TROPICAL CYCLONE REPORT HURRICANE LAURA (AL132020) 20–29 August 2020, National Hurricane Center 26 May 2021 ",Not available ,https://www.nhc.noaa.gov/data/tcr/AL132020_Laura.pdf
AL132020,Laura,ID2,N/A,N/A,,,"210,000,000",100M-250M,Damage breakdown by state from NHC Tropical Cyclone Report (citing NCEI),TN,"Pasch, R.J., Berg, R., Roberts, D.P, and Papin, P.P., NATIONAL HURRICANE CENTER TROPICAL CYCLONE REPORT HURRICANE LAURA (AL132020) 20–29 August 2020, National Hurricane Center 26 May 2021 ",Not available ,https://www.nhc.noaa.gov/data/tcr/AL132020_Laura.pdf
AL132020,Laura,ID3,N/A,N/A,,,"50,000,000",100M-250M,Damage breakdown by state from NHC Tropical Cyclone Report (citing NCEI),MS,"Pasch, R.J., Berg, R., Roberts, D.P, and Papin, P.P., NATIONAL HURRICANE CENTER TROPICAL CYCLONE REPORT HURRICANE LAURA (AL132020) 20–29 August 2020, National Hurricane Center 26 May 2021 ",Not available ,https://www.nhc.noaa.gov/data/tcr/AL132020_Laura.pdf
AL192020,Sally,LF1,N/A,N/A,,,"7,300,000,000","7,300,000,000",Alabama and Florida Panhandle: from NHC Tropical Cyclone Report (citing NCEI),AL FL,"NOAA National Centers for Environmental Information (NCEI) U.S. Billion-Dollar Weather and Climate Disasters (2024). https://www.ncei.noaa.gov/access/billions/,",https://doi.org/10.25921/stkw-7w73,
AL092021,Ida,LF1,N/A,N/A,,,"55,000,000,000",50B-60B,Damage breakdown by state from NHC Tropical Cyclone Report (citing NCEI),LA,"Beven, J.L. Hagen, A., and Berg, R.  NATIONAL HURRICANE CENTER TROPICAL CYCLONE REPORT HURRICANE IDA (AL092021) 26 August–1 September 2021, National Hurricane Center 4 April 2022",Not available ,https://www.nhc.noaa.gov/data/tcr/AL092021_Ida.pdf
AL092021,Ida,DIL1,N/A,N/A,,,"9,000,000,000",7.5B-10B,Damage breakdown by state from NHC Tropical Cyclone Report (citing NCEI). ,NJ,"Beven, J.L. Hagen, A., and Berg, R.  NATIONAL HURRICANE CENTER TROPICAL CYCLONE REPORT HURRICANE IDA (AL092021) 26 August–1 September 2021, National Hurricane Center 4 April 2022",Not available ,https://www.nhc.noaa.gov/data/tcr/AL092021_Ida.pdf
AL092021,Ida,DIL2,N/A,N/A,,,"3,000,000,000",2B-3B,Damage breakdown by state from NHC Tropical Cyclone Report (citing NCEI). ,PA,"Beven, J.L. Hagen, A., and Berg, R.  NATIONAL HURRICANE CENTER TROPICAL CYCLONE REPORT HURRICANE IDA (AL092021) 26 August–1 September 2021, National Hurricane Center 4 April 2022",Not available ,https://www.nhc.noaa.gov/data/tcr/AL092021_Ida.pdf
AL092021,Ida,DIL3,N/A,N/A,,,"8,250,000,000",7.5B-10B,Damage breakdown by state from NHC Tropical Cyclone Report (citing NCEI). ,NY,"Beven, J.L. Hagen, A., and Berg, R.  NATIONAL HURRICANE CENTER TROPICAL CYCLONE REPORT HURRICANE IDA (AL092021) 26 August–1 September 2021, National Hurricane Center 4 April 2022",Not available ,https://www.nhc.noaa.gov/data/tcr/AL092021_Ida.pdf
AL092022,Ian,LF1,N/A,N/A,,,"109,500,000,000",100M-250M,"Damage breakdown from NHC Tropical Cyclone Report (citing NCEI) 109,500,000,000 provided for FL",FL,"Hagen, A., Delgado, S., and Beven, J. NATIONAL HURRICANE CENTER TROPICAL CYCLONE REPORT HURRICANE IAN (AL092022) 23–30 September 2022, National Hurricane Center 3 April 2023 ",Not available ,https://www.nhc.noaa.gov/data/tcr/AL092022_Ian.pdf
AL092022,Ian,LF2,N/A,N/A,,,"3,400,000,000",,"Damage breakdown from NHC Tropical Cyclone Report (citing NCEI). Total storm cost minus FL loss =  3,400,000,000 ","SC, NC, VA","Hagen, A., Delgado, S., and Beven, J. NATIONAL HURRICANE CENTER TROPICAL CYCLONE REPORT HURRICANE IAN (AL092022) 23–30 September 2022, National Hurricane Center 3 April 2023 ",Not available ,https://www.nhc.noaa.gov/data/tcr/AL092022_Ian.pdf
,,,,,,,,,,,,,
,,DL = Direct LF,,,,,,,,,,,
,,DIL = Direct Inland LF,,,,,,,,,,,
,,ID = Indirect LF,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
